SiteNumber,IslandCode,IslandName,SiteCode,SiteName,Species,ScientificName,CommonName,SurveyYear,SurveyDate,Quadrat_Number,CountA,CountB,CountC,CountD
12,AN,Anacapa Island,CC,Cathedral Cove,6003,Corynactis californicus,club-tipped anemone,2022,6/1/2022,1,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,6004,Balanophyllia elegans,orange cup coral,2022,6/1/2022,1,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,6005,Astrangia lajollaensis,La Jolla cup coral,2022,6/1/2022,1,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,7001,Diopatra ornata,ornate tube worm,2022,6/1/2022,1,3,2,1,2
12,AN,Anacapa Island,CC,Cathedral Cove,7002,Phragmatopoma californica,colonial sand-tube worm,2022,6/1/2022,1,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,9001,Serpulorbis squamigerus,scaled wormsnail,2022,6/1/2022,1,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,10001,Bryozoa,bryozoans (miscellaneous),2022,6/1/2022,1,1,1,0,3
12,AN,Anacapa Island,CC,Cathedral Cove,10002,Diaperoecia californica,Southern staghorn bryozoan,2022,6/1/2022,1,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,11008,Pachythyone rubra,aggregated red sea cucumber,2022,6/1/2022,1,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,11010,Ophiothrix spiculata,spiny brittle star,2022,6/1/2022,1,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,12001,Tunicata,tunicates,2022,6/1/2022,1,1,0,1,0
12,AN,Anacapa Island,CC,Cathedral Cove,13002,Miscellaneous Invertebrates excluding Ophiothrix spiculata,Miscellaneous Invertebrates excluding Ophiothrix spiculata,2022,6/1/2022,1,0,2,3,2
12,AN,Anacapa Island,CC,Cathedral Cove,15001,Bare Substrate,Bare Substrate,2022,6/1/2022,1,0,3,2,6
12,AN,Anacapa Island,CC,Cathedral Cove,15002,Rock,Rock,2022,6/1/2022,1,10,6,8,5
12,AN,Anacapa Island,CC,Cathedral Cove,15003,Cobble,Cobble,2022,6/1/2022,1,0,2,1,2
12,AN,Anacapa Island,CC,Cathedral Cove,15004,Sand,Sand,2022,6/1/2022,1,0,2,1,3
12,AN,Anacapa Island,CC,Cathedral Cove,1001,Chlorophyta,green algae,2022,6/1/2022,2,1,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,2001,Phaeophyta,brown algae (miscellaneous),2022,6/1/2022,2,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,2003,Desmarestia,acid weed,2022,6/1/2022,2,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,2007,Cystoseira,bladder chain kelp,2022,6/1/2022,2,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,2010,Macrocystis pyrifera,"giant kelp, all",2022,6/1/2022,2,0,1,1,0
12,AN,Anacapa Island,CC,Cathedral Cove,2012,Eisenia arborea,"Southern sea palm, all",2022,6/1/2022,2,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,2013,Pterygophora californica,"California sea palm, all",2022,6/1/2022,2,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,2014,Laminaria farlowii,"oar weed, all",2022,6/1/2022,2,7,4,3,5
12,AN,Anacapa Island,CC,Cathedral Cove,2017,Sargassum horneri,"Sargassum horneri, all",2022,6/1/2022,2,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,3001,Rhodophyta,red algae (miscellaneous),2022,6/1/2022,2,3,5,2,1
12,AN,Anacapa Island,CC,Cathedral Cove,3002,Corallinales,articulated coralline algae,2022,6/1/2022,2,1,1,3,1
12,AN,Anacapa Island,CC,Cathedral Cove,3003,Corallinales,encrusting coralline algae,2022,6/1/2022,2,0,0,1,0
12,AN,Anacapa Island,CC,Cathedral Cove,3004,Gelidium,agar weed,2022,6/1/2022,2,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,3005,Gigartina,sea tongue,2022,6/1/2022,2,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,4001,Plantae,miscellaneous plants (ie: diatoms),2022,6/1/2022,2,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,5001,Porifera,sponges,2022,6/1/2022,2,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,6003,Corynactis californicus,club-tipped anemone,2022,6/1/2022,2,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,6004,Balanophyllia elegans,orange cup coral,2022,6/1/2022,2,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,6005,Astrangia lajollaensis,La Jolla cup coral,2022,6/1/2022,2,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,7001,Diopatra ornata,ornate tube worm,2022,6/1/2022,2,0,0,2,3
12,AN,Anacapa Island,CC,Cathedral Cove,7002,Phragmatopoma californica,colonial sand-tube worm,2022,6/1/2022,2,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,9001,Serpulorbis squamigerus,scaled wormsnail,2022,6/1/2022,2,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,10001,Bryozoa,bryozoans (miscellaneous),2022,6/1/2022,2,5,1,1,0
12,AN,Anacapa Island,CC,Cathedral Cove,10002,Diaperoecia californica,Southern staghorn bryozoan,2022,6/1/2022,2,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,11008,Pachythyone rubra,aggregated red sea cucumber,2022,6/1/2022,2,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,11010,Ophiothrix spiculata,spiny brittle star,2022,6/1/2022,2,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,12001,Tunicata,tunicates,2022,6/1/2022,2,0,1,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,13002,Miscellaneous Invertebrates excluding Ophiothrix spiculata,Miscellaneous Invertebrates excluding Ophiothrix spiculata,2022,6/1/2022,2,6,2,5,1
12,AN,Anacapa Island,CC,Cathedral Cove,15001,Bare Substrate,Bare Substrate,2022,6/1/2022,2,1,1,4,5
12,AN,Anacapa Island,CC,Cathedral Cove,15002,Rock,Rock,2022,6/1/2022,2,9,9,7,6
12,AN,Anacapa Island,CC,Cathedral Cove,15003,Cobble,Cobble,2022,6/1/2022,2,1,1,0,2
12,AN,Anacapa Island,CC,Cathedral Cove,15004,Sand,Sand,2022,6/1/2022,2,0,0,3,2
12,AN,Anacapa Island,CC,Cathedral Cove,1001,Chlorophyta,green algae,2022,6/1/2022,3,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,2001,Phaeophyta,brown algae (miscellaneous),2022,6/1/2022,3,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,2003,Desmarestia,acid weed,2022,6/1/2022,3,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,2007,Cystoseira,bladder chain kelp,2022,6/1/2022,3,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,2010,Macrocystis pyrifera,"giant kelp, all",2022,6/1/2022,3,2,1,2,1
12,AN,Anacapa Island,CC,Cathedral Cove,2012,Eisenia arborea,"Southern sea palm, all",2022,6/1/2022,3,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,2013,Pterygophora californica,"California sea palm, all",2022,6/1/2022,3,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,2014,Laminaria farlowii,"oar weed, all",2022,6/1/2022,3,0,2,3,5
12,AN,Anacapa Island,CC,Cathedral Cove,2017,Sargassum horneri,"Sargassum horneri, all",2022,6/1/2022,3,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,3001,Rhodophyta,red algae (miscellaneous),2022,6/1/2022,3,8,6,3,2
12,AN,Anacapa Island,CC,Cathedral Cove,3002,Corallinales,articulated coralline algae,2022,6/1/2022,3,1,1,1,2
12,AN,Anacapa Island,CC,Cathedral Cove,3003,Corallinales,encrusting coralline algae,2022,6/1/2022,3,1,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,3004,Gelidium,agar weed,2022,6/1/2022,3,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,3005,Gigartina,sea tongue,2022,6/1/2022,3,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,4001,Plantae,miscellaneous plants (ie: diatoms),2022,6/1/2022,3,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,5001,Porifera,sponges,2022,6/1/2022,3,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,6003,Corynactis californicus,club-tipped anemone,2022,6/1/2022,3,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,6004,Balanophyllia elegans,orange cup coral,2022,6/1/2022,3,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,6005,Astrangia lajollaensis,La Jolla cup coral,2022,6/1/2022,3,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,7001,Diopatra ornata,ornate tube worm,2022,6/1/2022,3,0,0,3,1
12,AN,Anacapa Island,CC,Cathedral Cove,7002,Phragmatopoma californica,colonial sand-tube worm,2022,6/1/2022,3,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,9001,Serpulorbis squamigerus,scaled wormsnail,2022,6/1/2022,3,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,10001,Bryozoa,bryozoans (miscellaneous),2022,6/1/2022,3,3,6,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,10002,Diaperoecia californica,Southern staghorn bryozoan,2022,6/1/2022,3,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,11008,Pachythyone rubra,aggregated red sea cucumber,2022,6/1/2022,3,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,11010,Ophiothrix spiculata,spiny brittle star,2022,6/1/2022,3,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,12001,Tunicata,tunicates,2022,6/1/2022,3,2,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,13002,Miscellaneous Invertebrates excluding Ophiothrix spiculata,Miscellaneous Invertebrates excluding Ophiothrix spiculata,2022,6/1/2022,3,2,5,0,4
12,AN,Anacapa Island,CC,Cathedral Cove,15001,Bare Substrate,Bare Substrate,2022,6/1/2022,3,0,0,6,4
12,AN,Anacapa Island,CC,Cathedral Cove,15002,Rock,Rock,2022,6/1/2022,3,7,8,2,5
12,AN,Anacapa Island,CC,Cathedral Cove,15003,Cobble,Cobble,2022,6/1/2022,3,3,2,6,4
12,AN,Anacapa Island,CC,Cathedral Cove,15004,Sand,Sand,2022,6/1/2022,3,0,0,2,1
12,AN,Anacapa Island,CC,Cathedral Cove,1001,Chlorophyta,green algae,2022,6/1/2022,4,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,2001,Phaeophyta,brown algae (miscellaneous),2022,6/1/2022,4,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,2003,Desmarestia,acid weed,2022,6/1/2022,4,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,2007,Cystoseira,bladder chain kelp,2022,6/1/2022,4,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,2010,Macrocystis pyrifera,"giant kelp, all",2022,6/1/2022,4,1,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,2012,Eisenia arborea,"Southern sea palm, all",2022,6/1/2022,4,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,2013,Pterygophora californica,"California sea palm, all",2022,6/1/2022,4,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,2014,Laminaria farlowii,"oar weed, all",2022,6/1/2022,4,5,7,7,4
12,AN,Anacapa Island,CC,Cathedral Cove,2017,Sargassum horneri,"Sargassum horneri, all",2022,6/1/2022,4,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,3001,Rhodophyta,red algae (miscellaneous),2022,6/1/2022,4,1,3,0,1
12,AN,Anacapa Island,CC,Cathedral Cove,3002,Corallinales,articulated coralline algae,2022,6/1/2022,4,3,0,3,2
12,AN,Anacapa Island,CC,Cathedral Cove,3003,Corallinales,encrusting coralline algae,2022,6/1/2022,4,0,1,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,3004,Gelidium,agar weed,2022,6/1/2022,4,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,3005,Gigartina,sea tongue,2022,6/1/2022,4,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,4001,Plantae,miscellaneous plants (ie: diatoms),2022,6/1/2022,4,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,5001,Porifera,sponges,2022,6/1/2022,4,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,6003,Corynactis californicus,club-tipped anemone,2022,6/1/2022,4,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,6004,Balanophyllia elegans,orange cup coral,2022,6/1/2022,4,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,6005,Astrangia lajollaensis,La Jolla cup coral,2022,6/1/2022,4,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,7001,Diopatra ornata,ornate tube worm,2022,6/1/2022,4,0,0,1,0
12,AN,Anacapa Island,CC,Cathedral Cove,7002,Phragmatopoma californica,colonial sand-tube worm,2022,6/1/2022,4,3,1,1,2
12,AN,Anacapa Island,CC,Cathedral Cove,9001,Serpulorbis squamigerus,scaled wormsnail,2022,6/1/2022,4,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,10001,Bryozoa,bryozoans (miscellaneous),2022,6/1/2022,4,0,1,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,10002,Diaperoecia californica,Southern staghorn bryozoan,2022,6/1/2022,4,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,11008,Pachythyone rubra,aggregated red sea cucumber,2022,6/1/2022,4,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,11010,Ophiothrix spiculata,spiny brittle star,2022,6/1/2022,4,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,12001,Tunicata,tunicates,2022,6/1/2022,4,1,1,1,1
12,AN,Anacapa Island,CC,Cathedral Cove,13002,Miscellaneous Invertebrates excluding Ophiothrix spiculata,Miscellaneous Invertebrates excluding Ophiothrix spiculata,2022,6/1/2022,4,4,7,3,3
12,AN,Anacapa Island,CC,Cathedral Cove,15001,Bare Substrate,Bare Substrate,2022,6/1/2022,4,3,1,3,3
12,AN,Anacapa Island,CC,Cathedral Cove,15002,Rock,Rock,2022,6/1/2022,4,7,8,7,8
12,AN,Anacapa Island,CC,Cathedral Cove,15003,Cobble,Cobble,2022,6/1/2022,4,3,2,1,2
12,AN,Anacapa Island,CC,Cathedral Cove,15004,Sand,Sand,2022,6/1/2022,4,0,0,2,0
12,AN,Anacapa Island,CC,Cathedral Cove,1001,Chlorophyta,green algae,2022,6/1/2022,5,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,2001,Phaeophyta,brown algae (miscellaneous),2022,6/1/2022,5,1,0,0,3
12,AN,Anacapa Island,CC,Cathedral Cove,2003,Desmarestia,acid weed,2022,6/1/2022,5,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,2007,Cystoseira,bladder chain kelp,2022,6/1/2022,5,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,2010,Macrocystis pyrifera,"giant kelp, all",2022,6/1/2022,5,3,6,3,0
12,AN,Anacapa Island,CC,Cathedral Cove,2012,Eisenia arborea,"Southern sea palm, all",2022,6/1/2022,5,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,2013,Pterygophora californica,"California sea palm, all",2022,6/1/2022,5,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,2014,Laminaria farlowii,"oar weed, all",2022,6/1/2022,5,6,4,3,1
12,AN,Anacapa Island,CC,Cathedral Cove,2017,Sargassum horneri,"Sargassum horneri, all",2022,6/1/2022,5,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,3001,Rhodophyta,red algae (miscellaneous),2022,6/1/2022,5,0,1,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,3002,Corallinales,articulated coralline algae,2022,6/1/2022,5,0,0,2,0
12,AN,Anacapa Island,CC,Cathedral Cove,3003,Corallinales,encrusting coralline algae,2022,6/1/2022,5,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,3004,Gelidium,agar weed,2022,6/1/2022,5,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,3005,Gigartina,sea tongue,2022,6/1/2022,5,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,4001,Plantae,miscellaneous plants (ie: diatoms),2022,6/1/2022,5,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,5001,Porifera,sponges,2022,6/1/2022,5,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,6003,Corynactis californicus,club-tipped anemone,2022,6/1/2022,5,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,6004,Balanophyllia elegans,orange cup coral,2022,6/1/2022,5,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,6005,Astrangia lajollaensis,La Jolla cup coral,2022,6/1/2022,5,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,7001,Diopatra ornata,ornate tube worm,2022,6/1/2022,5,0,0,0,3
12,AN,Anacapa Island,CC,Cathedral Cove,7002,Phragmatopoma californica,colonial sand-tube worm,2022,6/1/2022,5,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,9001,Serpulorbis squamigerus,scaled wormsnail,2022,6/1/2022,5,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,10001,Bryozoa,bryozoans (miscellaneous),2022,6/1/2022,5,4,6,1,1
12,AN,Anacapa Island,CC,Cathedral Cove,10002,Diaperoecia californica,Southern staghorn bryozoan,2022,6/1/2022,5,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,11008,Pachythyone rubra,aggregated red sea cucumber,2022,6/1/2022,5,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,11010,Ophiothrix spiculata,spiny brittle star,2022,6/1/2022,5,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,12001,Tunicata,tunicates,2022,6/1/2022,5,1,1,1,0
12,AN,Anacapa Island,CC,Cathedral Cove,13002,Miscellaneous Invertebrates excluding Ophiothrix spiculata,Miscellaneous Invertebrates excluding Ophiothrix spiculata,2022,6/1/2022,5,5,5,2,1
12,AN,Anacapa Island,CC,Cathedral Cove,15001,Bare Substrate,Bare Substrate,2022,6/1/2022,5,1,2,4,6
12,AN,Anacapa Island,CC,Cathedral Cove,15002,Rock,Rock,2022,6/1/2022,5,10,10,6,3
12,AN,Anacapa Island,CC,Cathedral Cove,15003,Cobble,Cobble,2022,6/1/2022,5,0,0,4,0
12,AN,Anacapa Island,CC,Cathedral Cove,15004,Sand,Sand,2022,6/1/2022,5,0,0,0,7
12,AN,Anacapa Island,CC,Cathedral Cove,1001,Chlorophyta,green algae,2022,6/1/2022,6,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,2001,Phaeophyta,brown algae (miscellaneous),2022,6/1/2022,6,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,2003,Desmarestia,acid weed,2022,6/1/2022,6,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,2007,Cystoseira,bladder chain kelp,2022,6/1/2022,6,0,0,0,1
12,AN,Anacapa Island,CC,Cathedral Cove,2010,Macrocystis pyrifera,"giant kelp, all",2022,6/1/2022,6,0,0,0,1
12,AN,Anacapa Island,CC,Cathedral Cove,2012,Eisenia arborea,"Southern sea palm, all",2022,6/1/2022,6,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,2013,Pterygophora californica,"California sea palm, all",2022,6/1/2022,6,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,2014,Laminaria farlowii,"oar weed, all",2022,6/1/2022,6,5,0,1,4
12,AN,Anacapa Island,CC,Cathedral Cove,2017,Sargassum horneri,"Sargassum horneri, all",2022,6/1/2022,6,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,3001,Rhodophyta,red algae (miscellaneous),2022,6/1/2022,6,1,1,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,3002,Corallinales,articulated coralline algae,2022,6/1/2022,6,2,1,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,3003,Corallinales,encrusting coralline algae,2022,6/1/2022,6,0,0,1,0
12,AN,Anacapa Island,CC,Cathedral Cove,3004,Gelidium,agar weed,2022,6/1/2022,6,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,3005,Gigartina,sea tongue,2022,6/1/2022,6,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,4001,Plantae,miscellaneous plants (ie: diatoms),2022,6/1/2022,6,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,5001,Porifera,sponges,2022,6/1/2022,6,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,6003,Corynactis californicus,club-tipped anemone,2022,6/1/2022,6,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,6004,Balanophyllia elegans,orange cup coral,2022,6/1/2022,6,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,6005,Astrangia lajollaensis,La Jolla cup coral,2022,6/1/2022,6,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,7001,Diopatra ornata,ornate tube worm,2022,6/1/2022,6,0,0,1,0
12,AN,Anacapa Island,CC,Cathedral Cove,7002,Phragmatopoma californica,colonial sand-tube worm,2022,6/1/2022,6,0,0,0,1
12,AN,Anacapa Island,CC,Cathedral Cove,9001,Serpulorbis squamigerus,scaled wormsnail,2022,6/1/2022,6,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,10001,Bryozoa,bryozoans (miscellaneous),2022,6/1/2022,6,4,8,3,4
12,AN,Anacapa Island,CC,Cathedral Cove,10002,Diaperoecia californica,Southern staghorn bryozoan,2022,6/1/2022,6,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,11008,Pachythyone rubra,aggregated red sea cucumber,2022,6/1/2022,6,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,11010,Ophiothrix spiculata,spiny brittle star,2022,6/1/2022,6,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,12001,Tunicata,tunicates,2022,6/1/2022,6,3,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,13002,Miscellaneous Invertebrates excluding Ophiothrix spiculata,Miscellaneous Invertebrates excluding Ophiothrix spiculata,2022,6/1/2022,6,4,3,2,2
12,AN,Anacapa Island,CC,Cathedral Cove,15001,Bare Substrate,Bare Substrate,2022,6/1/2022,6,1,0,7,6
12,AN,Anacapa Island,CC,Cathedral Cove,15002,Rock,Rock,2022,6/1/2022,6,9,7,8,5
12,AN,Anacapa Island,CC,Cathedral Cove,15003,Cobble,Cobble,2022,6/1/2022,6,0,3,1,3
12,AN,Anacapa Island,CC,Cathedral Cove,15004,Sand,Sand,2022,6/1/2022,6,1,0,1,2
12,AN,Anacapa Island,CC,Cathedral Cove,1001,Chlorophyta,green algae,2022,6/1/2022,7,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,2001,Phaeophyta,brown algae (miscellaneous),2022,6/1/2022,7,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,2003,Desmarestia,acid weed,2022,6/1/2022,7,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,2007,Cystoseira,bladder chain kelp,2022,6/1/2022,7,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,2010,Macrocystis pyrifera,"giant kelp, all",2022,6/1/2022,7,0,1,4,0
12,AN,Anacapa Island,CC,Cathedral Cove,2012,Eisenia arborea,"Southern sea palm, all",2022,6/1/2022,7,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,2013,Pterygophora californica,"California sea palm, all",2022,6/1/2022,7,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,2014,Laminaria farlowii,"oar weed, all",2022,6/1/2022,7,2,2,1,3
12,AN,Anacapa Island,CC,Cathedral Cove,2017,Sargassum horneri,"Sargassum horneri, all",2022,6/1/2022,7,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,3001,Rhodophyta,red algae (miscellaneous),2022,6/1/2022,7,2,1,1,1
12,AN,Anacapa Island,CC,Cathedral Cove,3002,Corallinales,articulated coralline algae,2022,6/1/2022,7,0,1,0,1
12,AN,Anacapa Island,CC,Cathedral Cove,3003,Corallinales,encrusting coralline algae,2022,6/1/2022,7,0,1,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,3004,Gelidium,agar weed,2022,6/1/2022,7,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,3005,Gigartina,sea tongue,2022,6/1/2022,7,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,4001,Plantae,miscellaneous plants (ie: diatoms),2022,6/1/2022,7,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,5001,Porifera,sponges,2022,6/1/2022,7,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,6003,Corynactis californicus,club-tipped anemone,2022,6/1/2022,7,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,6004,Balanophyllia elegans,orange cup coral,2022,6/1/2022,7,0,0,0,0
